Label,Generation,PR AUC,Lineage,Beats Baseline?,Baseline PR AUC,Dataset
Elastic_L70_C10 + Cluster Centroids_G27,27,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G27,27,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G27,27,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G27,27,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G27,27,0.202,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G27,27,0.201,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.201,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.202,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.207,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G28,28,0.209,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.201,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.2,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.203,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G29,29,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.202,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.206,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.201,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G30,30,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.206,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.201,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G31,31,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.201,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.209,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.207,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G32,32,0.203,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.201,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.206,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.207,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.209,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G33,33,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.207,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.208,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.209,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G34,34,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.202,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.209,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.208,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G35,35,0.201,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.203,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.202,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.201,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.207,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G36,36,0.207,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.201,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.201,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.203,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.206,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G37,37,0.202,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.203,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.207,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G38,38,0.208,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.201,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.2,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.201,child of Elastic_L70_C10 + Cluster Centroids_G38,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G39,39,0.208,child of Elastic_L70_C10 + Cluster Centroids_G38,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.206,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.2,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.206,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G40,40,0.2,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.2,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.208,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.202,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G41,41,0.201,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.202,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.206,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.208,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.201,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.201,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G42,42,0.207,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.207,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.207,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.203,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.209,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G43,43,0.206,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.204,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.208,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.2,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G44,44,0.209,child of Elastic_L70_C10 + Cluster Centroids_G35,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.209,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.203,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.201,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G45,45,0.209,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.207,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.209,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.208,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.202,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G46,46,0.207,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.208,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.206,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.201,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.201,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G47,47,0.208,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.206,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.203,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.209,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.201,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.209,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G48,48,0.2,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.201,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.201,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.201,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.202,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G49,49,0.204,child of Elastic_L70_C10 + Cluster Centroids_G44,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.201,child of Elastic_L70_C10 + Cluster Centroids_G49,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.201,child of Elastic_L70_C10 + Cluster Centroids_G49,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.209,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.203,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.204,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G50,50,0.207,child of Elastic_L70_C10 + Cluster Centroids_G39,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.164,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTE_G0,0,0.162,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + ADASYN_G0,0,0.158,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.177,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTETomek_G0,0,0.162,origin of Elastic_L70_C10 + SMOTETomek,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTEENN_G0,0,0.142,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + Random Undersample_G0,0,0.144,origin of Elastic_L70_C10 + Random Undersample,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + Cluster Centroids_G0,0,0.175,origin of Elastic_L70_C10 + Cluster Centroids,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + No Resampling_G0,0,0.168,origin of Elastic_L70_C10 + No Resampling,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.164,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTE_G0,0,0.162,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + ADASYN_G0,0,0.158,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.177,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTETomek_G0,0,0.162,origin of Elastic_L70_C10 + SMOTETomek,✅ Yes,0.036,high_drift_w3_n10_d60.csv
Elastic_L70_C10 + SMOTEENN_G0,0,0.142,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.036,high_drift_w3_n10_d60.csv
